Titulo de revista,Área,Temática,Titulo del libro,Abstract,Resumen,Link inicial,Link articulo
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Miocene faulting in the southwestern Sierra Madre Occidental, Nayarit, Mexico: kinematics and segmentation during the initial rifting of the southern Gulf of California","Crustal stretching affecting western Mexico during the Neogene, and its relationship with the opening of the Gulf of California, has been widely studied and discussed for several decades. Nevertheless, the timing and kinematics of the opening is a matter of debate. Most authors essentially agree in considering the rupture of the lithosphere around the Gulf of California, as a fast process that began at ~12.5 Ma and became successful in the early Pliocene, when new oceanic crust began to form in the southern Gulf of California. However, recent studies demonstrated that the crustal stretching processes leading to the Gulf opening began in Late Oligocene as a wide rift, which subsequently focused into the present Gulf area in the early Miocene, accompanied by a slight change in the direction of extension. Eventually, after subduction ceased, highly oblique transtensional deformation broke the previously extended lithosphere.",,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/237/227
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Procedencia como herramienta para la subdivisión estratigráfica del Mesozoico temprano en el noreste de México,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/236/226
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Structural deformation in central Cuba and implications for the petroleum system: new insights from 3D inversion of gravity data,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/238/228
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Caracterización estratigráfica, paleoambiental y biocronológica de la Formación La Deheza (Carbonífero Superior-Pérmico Inferior), San Juan, Argentina",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/239/229
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Primer registro de Cuvieronius (Proboscidea: Gomphotheriidae) en el Pleistoceno del Istmo de Tehuantepec, Oaxaca, sur de México, algunas consideraciones sobre su taxonomía y distribución geográfica en México","The first record of Cuvieronius hyodon is reported in the Isthmus of Tehuantepec, southeastern Oaxaca, Mexico. It consists of a mandible fragment with an m3 collected from Pleistocene alluvium.",,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/240/230
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Porosity evolution in tight gas sands of the Upper Triassic Xujiahe Formation, western Sichuan basin, China",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/241/231
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"The alluvial sequence of Santa Cruz Nuevo, Mexico: Paleoecological interpretation of fossil vertebrates and pedosediments from marine isotope stage 3","The Pleistocene was climatically variable worldwide. In Mexico, climatic changes have been primarily studied in central and northern regions of the country, particularly in regard to marine isotope stage 2 (MIS 2). The paleoenvironments of the previous interglacial, MIS 3, remain less known, especially in the south. In the present work, the results for an alluvial pedosequence in Santa Cruz Nuevo, Puebla are presented; the large and small vertebrates recovered from this locality were used to reconstruct past paleoenvironments. However, it was found that the suite of fossil microvertebrates used here was more informative than that of the macrofossils because they are still extant, thus allowing insights into their ecology.",,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/242/232
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Fe de Erratas a Profundidad de la base de la fuente magnética y estructura térmica del Golfo de México,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/246/236
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Special section “50±1σ años de Geocronología en México”,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/243/233
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Early Mesoproterozoic (>1.4 Ga) ages from granulite basement inliers of SE Mexico and their implications on the Oaxaquia concept – Evidence from U-Pb and Lu-Hf isotopes on zircon,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/244/234
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Datación mediante trazas de fisión y análisis multielemental con LA-ICP-MS del fluorapatito de Cerro de Mercado (Durango, México)",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/245/235
