Titulo de revista,Área,Temática,Titulo del libro,Abstract,Resumen,Link inicial,Link articulo
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Ostracode and C/N based paleoecological record from Santiaguillo basin of subtropical Mexico over last 27 cal kyr BP,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/270/259
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Kimmeridgian (Late Jurassic) cold-water idoceratids (Ammonoidea) from southern Coahuila, northeastern Mexico, associated with Boreal bivalves and belemnites",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/271/260
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Grazing activity as taphonomic record of necrobiotic interaction: A case study of a sea turtle carapace from the Upper Jurassic of the Prebetic (south Spain),This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/272/261
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Estratigrafía y evolución del Complejo Volcánico Cerro Blanco, Puna Austral, Argentina",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/273/262
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Correlación entre elementos potencialmente tóxicos y propiedades magnéticas en suelos de la Ciudad de México para la identificación de sitios contaminados: definición de umbrales magnéticos,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/274/263
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Caracterización hidrogeoquímica de las aguas subterráneas del sur del Estado de Quintana Roo, México",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/275/264
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Seismicity in the southwestern Gulf of Mexico: evidence of active back arc deformation,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/276/265
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Origen y desarrollo de la cuenca El Bajío en el sector central de la Faja Volcánica Transmexicana,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/277/266
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Geología, geocronología y geoquímica del vulcanismo Plio-Cuaternario del Campo Volcánico Apan-Tecocomulco, Faja Volcánica Trans-Mexicana","The Apan-Tecocomulco Volcanic field is located ~85 km to the north of the present-day volcanic front, belonging to the eastern part of the Trans-Mexican Volcanic Belt. Geological, stratigraphic, geochronological and geochemical studies were used to establish the plio-quaternary volcanic sequence. This sequence was emplaced after a magmatic hiatus of ~7 Ma on Middle Miocene andesitic-dacitic rocks. The magmatism restarted ~3 Ma ago with the emplacement of some dacitic domes, lava flows, and several scoria cones, mostly of basaltic andesite composition. Later, some basaltic andesite shield volcanoes and scoria cones formed between 1 and ~0.5 Ma. Finally, several basaltic scoria cones and associated lava flows were emplaced between ~0.5 to ~0.2 Ma. The K-Ar age determinations suggest that the plio-quaternary volcanism started at the northern part of the Trans-Mexican Volcanic Belt and later moved towards the Middle-America trench, to the present-day volcanic front, at which time it spreads throughout the study area and the Sierra Nevada. The plio-quaternary volcanic structures seem to follow NE-SW alignments, in the same way as the regional faults.",,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/278/267
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"A chronological and chemical zircon study of some pegmatite dikes and lenses from the central part (Ayoquezco-Ejutla) of the Oaxacan Complex, southern Mexico",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/279/268
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Rock magnetic and AMS fabrics characterization of suevitic breccias from the Cretaceous-Paleogene Chicxulub impact crater,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/280/269
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Cretaceous-Paleogene boundary deposits and paleogeography in western and central Cuba,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/281/270
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Fe de erratas a Resultados del pozo San Lorenzo Tezonco y sus implicaciones en el entendimiento de la hidrogeología regional de la cuenca de México [Rev. Mex. Cienc. Geol., 31 (2014), 64-75]a",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/282/271
